episodio,recompensa,epsilon,tubos_pasados
8309,-3.30,0.6600,0
8310,-5.10,0.6600,0
8311,-6.90,0.6600,0
8312,-5.70,0.6599,0
8313,-6.30,0.6599,0
8314,-3.30,0.6599,0
8315,-6.90,0.6598,0
8316,-2.70,0.6598,0
8317,-7.50,0.6598,0
8318,-7.50,0.6597,0
8319,-0.90,0.6597,0
8320,3.90,0.6597,3
8321,-6.30,0.6596,0
8322,-5.70,0.6596,0
8323,-8.10,0.6596,0
8324,-3.90,0.6595,0
8325,-0.90,0.6595,0
8326,-0.90,0.6595,0
8327,-5.10,0.6594,0
8328,-6.30,0.6594,0
8329,-6.30,0.6594,0
8330,-5.70,0.6593,0
8331,-4.50,0.6593,0
8332,-5.70,0.6593,0
8333,-2.10,0.6592,0
8334,-3.30,0.6592,0
8335,-5.10,0.6592,0
8336,-6.30,0.6591,0
8337,2.10,0.6591,2
8338,-7.50,0.6591,0
8339,3.90,0.6590,3
8340,-8.10,0.6590,0
8341,-6.90,0.6590,0
8342,1.50,0.6589,1
8343,-5.10,0.6589,0
8344,-8.10,0.6589,0
8345,-7.50,0.6588,0
8346,-2.70,0.6588,0
8347,-6.30,0.6588,0
8348,-3.90,0.6588,0
8349,-0.90,0.6587,0
8350,-7.50,0.6587,0
8351,-5.10,0.6587,0
8352,-3.30,0.6586,0
8353,-3.30,0.6586,0
8354,-3.90,0.6586,0
8355,-3.30,0.6585,0
8356,-6.90,0.6585,0
8357,-3.90,0.6585,0
8358,-3.90,0.6584,0
8359,-0.90,0.6584,0
8360,-3.90,0.6584,0
8361,-6.90,0.6583,0
8362,-6.90,0.6583,0
8363,-5.70,0.6583,0
8364,-5.70,0.6582,0
8365,-7.50,0.6582,0
8366,3.90,0.6582,3
8367,-8.10,0.6581,0
8368,-3.30,0.6581,0
8369,-6.90,0.6581,0
8370,-4.50,0.6580,0
8371,-5.70,0.6580,0
8372,-7.50,0.6580,0
8373,-6.90,0.6579,0
8374,-6.90,0.6579,0
8375,-5.70,0.6579,0
8376,-2.70,0.6578,0
8377,-6.90,0.6578,0
8378,-6.90,0.6578,0
8379,-5.10,0.6577,0
8380,-6.90,0.6577,0
8381,-6.30,0.6577,0
8382,-7.50,0.6576,0
8383,-6.90,0.6576,0
8384,-7.50,0.6576,0
8385,-2.70,0.6575,0
8386,-0.90,0.6575,0
8387,-6.90,0.6575,0
8388,-7.50,0.6574,0
8389,-5.70,0.6574,0
8390,-6.30,0.6574,0
8391,-5.10,0.6573,0
8392,-6.90,0.6573,0
8393,-6.30,0.6573,0
8394,-5.10,0.6572,0
8395,-5.70,0.6572,0
8396,-6.90,0.6572,0
8397,-6.30,0.6571,0
8398,-5.70,0.6571,0
8399,-6.30,0.6571,0
8400,-5.70,0.6570,0
8401,-6.30,0.6570,0
8402,-4.50,0.6570,0
8403,1.50,0.6569,1
8404,-6.90,0.6569,0
8405,-7.50,0.6569,0
8406,0.30,0.6568,0
8407,-8.10,0.6568,0
8408,-3.90,0.6568,0
8409,-6.30,0.6567,0
8410,-1.50,0.6567,0
8411,-7.50,0.6567,0
8412,-4.50,0.6566,0
8413,-0.90,0.6566,0
